field_id,year,yield_t_ha,harvested_weight_t,completed_area_ha,completed_date,humidity,protein_content,oil_content,operation_id,crop_id,variety,till_type,sowing_date,harvesting_date,standard_name,field_name,field_tillable_area,field_calculated_area,lat,long,cropwise_t_ha,target_yield_t_ha,target_source,prev_crop_id,prev_standard_name,rotation_pair,years_since_sunflower,years_since_wheat,asof_tag,sowing_known_asof,sowing_doy,days_after_sowing_asof,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_days_asof,cw_temp_n_obs_asof,cw_temp_mean_asof,cw_temp_max_asof,cw_temp_min_asof,cw_temp_std_asof,cw_temp_p25_asof,cw_temp_p75_asof,cw_temp_last_value_asof,cw_temp_last_doy_asof,cw_temp_peak_doy_asof,cw_temp_amplitude_asof,cw_temp_slope_asof,cw_temp_integral_asof,cw_temp_last30d_mean_asof,cw_sm_n_obs_asof,cw_sm_mean_asof,cw_sm_max_asof,cw_sm_min_asof,cw_sm_std_asof,cw_sm_p25_asof,cw_sm_p75_asof,cw_sm_last_value_asof,cw_sm_last_doy_asof,cw_sm_peak_doy_asof,cw_sm_amplitude_asof,cw_sm_slope_asof,cw_sm_integral_asof,cw_sm_last30d_mean_asof,gdd_to_asof,heat_days_ge30_to_asof,cold_days_le0_to_asof,field_soil_pH,field_soil_OM,field_soil_N,field_soil_P,field_soil_K,field_soil_Mg,field_soil_S,field_soil_Zn
195,2021,2.022276422764228,248.74,123.0,2021-08-22,0.0,0.0,0.0,7037,3.0,Планета,,2021-05-12,2021-08-22,barley_spring,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,3.518,2.022276422764228,v26_harvest_op,,missing,missing->barley_spring,,,08_01,1,132.0,81.0,59,0.4755423728813559,0.753,0.18,0.2143004640277408,0.2615,0.702,0.597,213.0,199.0,0.573,0.006568607461204144,49.0755,0.6963333333333332,31,117,13.05982905982906,46.3,-35.1,21.920799785104617,-5.5,30.5,29.6,213.0,147.0,81.4,0.30877506053463244,2205.4749999999995,26.133333333333333,213,0.4276690140845071,0.9279999999999999,0.0,0.2894982458410368,0.099,0.6495,0.5740000000000001,213.0,193.0,0.9279999999999999,0.004039309210934804,90.74825000000001,0.6832903225806453,2056.65,31,35,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913
195,2022,2.1216260162601626,260.96,123.0,2022-08-10,0.0,0.0,0.0,8710,44.0,,,2021-09-08,2022-08-10,wheat_winter,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,2.4872,2.1216260162601626,v26_harvest_op,3.0,barley_spring,barley_spring->wheat_winter,,,08_01,1,251.0,327.0,63,0.4365714285714286,0.686,0.177,0.15874964959698504,0.276,0.5635,0.428,210.0,177.0,0.5090000000000001,0.0038913905306724563,44.550000000000004,0.5021111111111112,27,138,11.559420289855073,44.5,-23.95,21.57959109524203,-10.05,30.125,34.3,209.0,137.0,68.45,0.30210535303297004,2153.625,27.84375,212,0.4408160377358491,0.897,0.0,0.2745431868411675,0.12525,0.6536249999999999,0.5589999999999999,213.0,112.0,0.897,0.0034871867918165166,93.33099999999999,0.6431612903225806,2284.65,35,55,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913
195,2023,0.8904065040650406,109.52,123.0,2023-08-09,0.0,0.0,0.0,12579,44.0,Булава,,2022-08-29,2023-08-09,wheat_winter,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,1.8031,0.8904065040650406,v26_harvest_op,44.0,wheat_winter,wheat_winter->wheat_winter,,1.0,08_01,1,241.0,337.0,64,0.364328125,0.474,0.171,0.10742949063913677,0.27775000000000005,0.455,0.44,213.0,195.0,0.30299999999999994,0.003411161215727088,36.336999999999996,0.4611052631578947,0,123,17.463414634146343,48.8,-29.8,22.979682678021256,-2.0,38.2,30.0,213.0,157.0,78.6,0.3712023707318923,2779.0,36.1,213,0.4585962441314554,0.8545,0.038,0.22342755468488262,0.264,0.615,0.6785,213.0,115.0,0.8165,0.0025429942554285336,97.2855,0.5886129032258064,2583.1,60,36,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913
195,2024,2.7365853658536587,336.6,123.0,2024-09-29,0.0,0.0,0.0,31065,40.0,,,2024-05-12,2024-09-29,sunflower,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,3.3274,2.7365853658536587,v26_harvest_op,44.0,wheat_winter,wheat_winter->sunflower,,1.0,08_01,1,133.0,81.0,58,0.4611551724137931,0.801,0.176,0.24246662064791216,0.22325,0.724,0.694,214.0,196.0,0.625,0.006992032292629277,49.18950000000001,0.7625,25,121,11.399999999999999,44.6,-27.75,20.65029265596155,-7.95,29.35,29.45,214.0,139.0,72.35,0.2852043055488375,2025.325,25.81666666666667,214,0.5513644859813084,0.97,0.041,0.29195767336691103,0.26275000000000004,0.8015000000000001,0.7010000000000001,214.0,101.0,0.9289999999999999,0.0038331495602609354,117.40825000000002,0.8117096774193548,1522.8500000000001,28,43,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913
195,2025,2.7195121951219514,334.5,123.0,2025-09-18,0.0,0.0,0.0,35707,43.0,Токката,,2025-05-14,2025-09-18,wheat_spring,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,2.8708,2.7195121951219514,v26_harvest_op,40.0,sunflower,sunflower->wheat_spring,1.0,2.0,08_01,1,134.0,79.0,71,0.46652112676056345,0.758,0.148,0.21655073628285337,0.269,0.6825000000000001,0.517,213.0,196.0,0.61,0.005915400223950989,52.912000000000006,0.6729473684210526,37,108,9.618981481481482,39.45,-24.2,20.591768084637824,-10.35,30.025,25.4,177.0,142.0,63.650000000000006,0.38431089439820154,1175.9249999999997,,211,0.5203364928909953,0.9595,0.0025,0.2975332918486876,0.183,0.777,0.6234999999999999,213.0,99.0,0.9570000000000001,0.003852236841372994,110.4605,0.7818709677419354,1581.45,27,44,6.9,3.6425,,225.2,499.4803025,427.5,27.9125,2.4025
197,2021,2.5965868263473055,867.26,334.0,2021-08-23,0.0,0.0,0.0,7038,3.0,Планета,,2021-05-11,2021-08-23,barley_spring,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.7068,2.5965868263473055,v26_harvest_op,,missing,missing->barley_spring,,,08_01,1,131.0,82.0,60,0.4917666666666667,0.758,0.15,0.2326474705548194,0.25125000000000003,0.74,0.659,213.0,186.0,0.608,0.006957392742085906,51.2585,0.724842105263158,31,115,13.046956521739132,46.9,-35.2,21.882357681332277,-4.575,30.6,29.25,213.0,152.0,82.1,0.30910936237950304,2173.775,25.8225,213,0.42793896713615026,0.9225,0.0,0.2890652468427613,0.1,0.6455,0.5720000000000001,213.0,193.0,0.9225,0.004029721265345557,90.80649999999997,0.6814838709677418,2016.6999999999998,30,34,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539
197,2022,1.5206997084548106,521.6,343.0,2022-08-09,0.0,0.0,0.0,8711,44.0,,,2021-09-11,2022-08-09,wheat_winter,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.2342,1.5206997084548106,v26_harvest_op,3.0,barley_spring,barley_spring->wheat_winter,,,08_01,1,254.0,324.0,64,0.451609375,0.727,0.155,0.18997521361248515,0.2435,0.645,0.451,210.0,185.0,0.572,0.005135184798334996,47.24549999999999,0.582,28,141,11.443617021276596,43.6,-23.55,21.76419146624952,-10.4,29.85,33.65,209.0,139.0,67.15,0.30602399114889656,2073.0499999999997,27.706,212,0.44002594339622636,0.897,0.0,0.27412498532905966,0.12537500000000001,0.6517499999999999,0.5585,213.0,112.0,0.897,0.0034778071843309297,93.16300000000001,0.6414354838709676,2339.6,34,56,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539
197,2023,1.0820991253644316,371.16,343.0,2023-08-20,0.0,0.0,0.0,12580,44.0,Булава,,2022-08-27,2023-08-20,wheat_winter,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,2.1736999999999997,1.0820991253644316,v26_harvest_op,44.0,wheat_winter,wheat_winter->wheat_winter,,1.0,08_01,1,239.0,339.0,65,0.347,0.493,0.166,0.10560565252936911,0.264,0.444,0.455,213.0,196.0,0.32699999999999996,0.0035786619383724504,34.8715,0.4668947368421053,0,124,17.33911290322581,48.7,-31.9,22.998128921511828,-2.0125,38.05,29.4,213.0,157.0,80.6,0.3709662302729304,2740.0749999999994,35.14999999999999,213,0.4597699530516432,0.8574999999999999,0.038,0.22429939674210236,0.263,0.613,0.6865,213.0,115.0,0.8194999999999999,0.0025561511371171857,97.53175,0.5904838709677419,2598.9500000000007,60,36,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539
197,2024,3.2877551020408164,1127.7,343.0,2024-10-02,0.0,0.0,0.0,31066,40.0,KAPPEPA CLP,,2024-05-13,2024-10-02,sunflower,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.2481,3.2877551020408164,v26_harvest_op,44.0,wheat_winter,wheat_winter->sunflower,,1.0,08_01,1,134.0,80.0,58,0.4584137931034483,0.798,0.144,0.24606671610615594,0.22775,0.7315,0.721,214.0,201.0,0.654,0.0071056333018817575,48.06699999999999,0.7733529411764706,25,118,11.08093220338983,44.8,-27.85,21.06877450874845,-8.612499999999999,28.4375,28.45,214.0,139.0,72.65,0.2879153561345587,1970.7,24.861904761904764,214,0.5528271028037384,0.973,0.0415,0.2919891625405624,0.26475,0.805875,0.7035,214.0,101.0,0.9315,0.0038277214690009232,117.71749999999999,0.8133225806451613,1483.4,25,42,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539
197,2025,3.779416909620991,1296.34,343.0,2025-08-17,0.0,0.0,0.0,35708,43.0,Дарья,,2025-05-16,2025-08-17,wheat_spring,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.1238,3.779416909620991,v26_harvest_op,40.0,sunflower,sunflower->wheat_spring,1.0,2.0,08_01,1,136.0,77.0,73,0.4676301369863014,0.762,0.167,0.22345073968184753,0.224,0.694,0.462,213.0,191.0,0.595,0.00588445289373146,52.4885,0.65735,36,108,8.800462962962962,40.65,-25.2,20.730973534172346,-11.462499999999999,29.150000000000002,25.2,177.0,142.0,65.85,0.3819252692179331,1042.75,,211,0.5214549763033175,0.96,0.0025,0.2980482707038395,0.18375,0.7795,0.626,213.0,99.0,0.9575,0.003857821728682879,110.6955,0.7842741935483872,1534.7,21,44,6.976923076923077,3.579230769230769,,216.96,502.5284007692307,454.61538461538464,15.039230769230768,1.8138461538461537
