field_id,year,crop_id,prev_crop_id,target_yield_t_ha,target_source,unit_fix_applied,field_tillable_area,field_calculated_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_p10_max_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_srad_mean_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_gdd_wheat_to_asof,wx_hot_d30_to_asof,wx_hot_d35_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_precip_sum_last30d,wx_srad_sum_last30d,wx_et0_sum_last30d,wx_vpd_max_last30d,wx_temp_max_last30d,wx_apr_precip,wx_apr_temp_mean,wx_apr_temp_max,wx_apr_srad,wx_apr_et0,wx_apr_vpd_max,wx_apr_hot_d30,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_may_hot_d30,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,wx_jul_precip,wx_jul_temp_mean,wx_jul_temp_max,wx_jul_srad,wx_jul_et0,wx_jul_vpd_max,wx_jul_hot_d30,wx_aug_precip,wx_aug_temp_mean,wx_aug_temp_max,wx_aug_srad,wx_aug_et0,wx_aug_vpd_max,wx_aug_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,gdd_at_asof,ndvi_at_gdd_200,ndvi_at_gdd_400,ndvi_at_gdd_600,ndvi_at_gdd_800,ndvi_at_gdd_1000,ndvi_at_gdd_1200,ndvi_at_gdd_1400,ndvi_peak_gdd_at_asof,ndvi_peak_value_at_asof,ndvi_growth_per_100gdd
195,2010,40.0,40.0,1.7763000000000002,estimate_normalized,True,123.0,122.42127,6.9,3.6425,225.2,499.4803025,7.5175,427.5,69.0,0.4598840579710145,0.667,0.194,0.1477941710360341,0.347,0.594,0.6635,0.0030428484526974,0.41,31.732,205.0,0.473,30.0,1,99,40__40,12.39542483660131,34.2,324.1,3333.04,21.784575163398692,4.35,1.3508496732026145,33,555.43,-231.32999999999993,1171.2,1423.3000000000002,8,0,111,12,2,35.2,642.55,127.09,4.35,34.2,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,79.8,17.13225806451613,30.0,657.41,119.07,2.58,2,35.2,17.593548387096774,34.2,657.67,129.97,4.35,4,0.0119053306170953,0.1296249999999999,-0.1009259259259259,0.0186333333333333,0.0923259711628759,3,1295.7,0.3422746185852982,0.4531694352159468,0.5887368421052631,0.642449169435216,0.6089272882805815,0.4943668598704399,,905.2999999999998,0.6602857142857143,0.05385799628507841
197,2010,40.0,40.0,2.2140999999999997,estimate_normalized,True,343.0,343.71311,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,454.61538461538464,73.0,0.4522739726027397,0.701,0.171,0.1778422619753032,0.317,0.638,0.6961428571428571,0.0023352066783985,0.301,33.016,195.0,0.5299999999999999,31.0,1,99,40__40,13.211111111111109,35.3,324.1,3333.04,21.784575163398692,4.67,1.426797385620915,35,568.1800000000001,-244.08000000000004,1278.1,1536.3000000000002,9,1,111,12,2,35.2,642.55,130.45,4.67,35.3,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,35.2,18.496774193548383,35.3,657.67,133.43,4.67,4,-0.0058362285219924,0.1438472222222222,-0.1468981481481481,0.0141893939393939,0.0758552735143644,3,1404.6999999999998,0.2677142857142857,0.5161928181108509,0.6535101549053356,0.693258064516129,0.6644407008086254,0.4635828571428572,0.32146310832025105,782.9000000000001,0.6945714285714286,0.0737444782776515
207,2010,40.0,40.0,2.1087,estimate_normalized,True,110.91,110.91329,6.875,3.55,244.935,425.663535,5.4125,412.5,68.0,0.4351911764705882,0.721,0.161,0.2028008482225663,0.222,0.60725,0.7143333333333333,0.0043264860885692,0.479,29.592999999999996,190.0,0.5599999999999999,35.0,1,99,40__40,12.39542483660131,34.2,324.1,3333.04,21.784575163398692,4.35,1.3508496732026145,33,555.43,-231.32999999999993,1171.2,1423.3000000000002,8,0,111,12,2,35.2,642.55,127.09,4.35,34.2,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,79.8,17.13225806451613,30.0,657.41,119.07,2.58,2,35.2,17.593548387096774,34.2,657.67,129.97,4.35,4,-0.016120379254521,0.1532037037037037,-0.2471250000000001,0.1419259259259259,0.0977778281683043,3,1295.7,0.21402357836338418,0.36509966777408637,0.7035563909774436,0.6740436877076411,0.6019435414884515,0.5514387998636209,,643.8999999999999,0.7117142857142856,0.10919347461503279
208,2010,40.0,40.0,2.4501,estimate_normalized,True,130.0,128.21593,6.8,3.916,202.758,706.31834,5.7,504.0,66.0,0.4582424242424242,0.719,0.142,0.1787454649228524,0.301,0.60875,0.7033333333333335,0.0034206335085005,0.424,30.244,205.0,0.577,31.0,1,99,40__40,12.02222222222222,34.3,268.2,3335.92,21.803398692810458,4.49,1.3490849673202614,33,558.8599999999999,-290.6599999999999,1135.9,1384.7999999999995,5,0,113,12,2,28.4,645.1700000000002,130.7,4.49,34.3,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,59.9,16.693548387096776,29.7,651.2,118.59,2.54,0,28.4,17.416129032258063,34.3,660.75,133.78,4.49,4,-0.0454299275724275,0.0417936507936507,-0.1145645021645021,-0.1145645021645021,-0.0500650913900913,3,1259.3000000000002,0.33599289267945986,0.5360015117157974,0.64669010989011,0.6941225986727209,0.6115052356020944,0.47223651844843917,,863.3000000000002,0.7002857142857142,0.06266494366889319
209,2010,40.0,40.0,2.0058,estimate_normalized,True,301.65,301.6502,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,77.0,0.4279610389610388,0.722,0.153,0.1900568227784387,0.261,0.601,0.7082857142857143,0.003903094547977,0.419,32.95299999999999,210.0,0.569,31.0,1,99,40__40,13.211111111111109,35.3,324.1,3333.04,21.784575163398692,4.67,1.426797385620915,35,568.1800000000001,-244.08000000000004,1278.1,1536.3000000000002,9,1,111,12,2,35.2,642.55,130.45,4.67,35.3,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,35.2,18.496774193548383,35.3,657.67,133.43,4.67,4,-0.0207645004240398,0.0428796296296295,-0.0968333333333333,-0.0294111111111111,0.0082958053621097,3,1404.6999999999998,0.24000000000000002,0.3522365339578455,0.5107826152683296,0.6826783804430864,0.6975862533692724,0.5774866071428572,0.4268178963893248,963.7,0.7082857142857143,0.05990892224658459
210,2010,40.0,40.0,2.4812000000000003,estimate_normalized,True,247.0,245.92428,7.2125,3.72,230.06625,480.10587375,9.455,423.75,72.0,0.470875,0.742,0.15,0.1857551358270104,0.33975,0.6525000000000001,0.7265714285714285,0.0036793342261296,0.447,33.903,210.0,0.592,35.0,1,99,40__40,13.211111111111109,35.3,324.1,3333.04,21.784575163398692,4.67,1.426797385620915,35,568.1800000000001,-244.08000000000004,1278.1,1536.3000000000002,9,1,111,12,2,35.2,642.55,130.45,4.67,35.3,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,35.2,18.496774193548383,35.3,657.67,133.43,4.67,4,-0.0076254743105095,0.0899083333333333,-0.1054444444444445,-0.038111111111111,0.0212304515130602,3,1404.6999999999998,0.29176647834274955,0.4333629976580797,0.5861965230536659,0.6922784568372803,0.7210303234501347,0.5869263392857142,0.45646310832025105,973.9000000000001,0.7265714285714286,0.05954134231011992
212,2010,40.0,40.0,2.5728999999999997,estimate_normalized,True,136.0,134.83369,7.140000000000001,3.766,232.258,464.594502,5.536,432.0,63.0,0.4686349206349205,0.685,0.169,0.1954527752475718,0.285,0.635,0.6845,0.004683770295707,0.562,29.523999999999997,205.0,0.516,35.0,1,99,40__40,12.02222222222222,34.3,268.2,3335.92,21.803398692810458,4.49,1.3490849673202614,33,558.8599999999999,-290.6599999999999,1135.9,1384.7999999999995,5,0,113,12,2,28.4,645.1700000000002,130.7,4.49,34.3,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,59.9,16.693548387096776,29.7,651.2,118.59,2.54,0,28.4,17.416129032258063,34.3,660.75,133.78,4.49,4,-0.0034366096642306,0.2331094276094276,-0.2748095238095238,0.2160467532467532,0.1623585022561213,3,1259.3000000000002,0.28320042643923243,0.38508692365835223,0.6137560439560439,0.6685461054837584,0.6558103964098729,0.6061702932828761,,874.4000000000002,0.6838571428571429,0.06046302943287867
213,2010,40.0,40.0,2.1619,estimate_normalized,True,14.0,16.53751,7.2,3.39,148.5,272.23874,13.42,420.0,67.0,0.4651044776119403,0.715,0.179,0.1709765746657377,0.333,0.6214999999999999,0.7013333333333334,0.0035372257995444,0.454,31.162,205.0,0.536,28.0,1,99,40__40,13.211111111111109,35.3,324.1,3333.04,21.784575163398692,4.67,1.426797385620915,35,568.1800000000001,-244.08000000000004,1278.1,1536.3000000000002,9,1,111,12,2,35.2,642.55,130.45,4.67,35.3,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,35.2,18.496774193548383,35.3,657.67,133.43,4.67,4,-0.0202761170507382,0.0597083333333333,-0.0991666666666666,-0.0065777777777777,0.0281289841051204,3,1404.6999999999998,0.29085714285714287,0.40615144418423105,0.52982156133829,0.6710496562261268,0.691955525606469,0.5882514285714286,0.4621860282574567,973.9000000000001,0.7,0.056109181942986336
214,2010,40.0,40.0,1.955,estimate_normalized,True,9.0,10.99122,7.1,3.67,236.12,399.02591,8.82,420.0,67.0,0.4677462686567164,0.713,0.18,0.1692042255641496,0.346,0.622,0.6993333333333333,0.0035016426906992,0.459,31.339,205.0,0.5329999999999999,31.0,1,99,40__40,13.211111111111109,35.3,324.1,3333.04,21.784575163398692,4.67,1.426797385620915,35,568.1800000000001,-244.08000000000004,1278.1,1536.3000000000002,9,1,111,12,2,35.2,642.55,130.45,4.67,35.3,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,35.2,18.496774193548383,35.3,657.67,133.43,4.67,4,-0.0194674588598831,0.0605291005291004,-0.0954999999999999,-0.0074222222222222,0.0281090171192443,3,1404.6999999999998,0.29957142857142854,0.4126658860265418,0.5342549123738715,0.6692578304048893,0.6904764150943395,0.5893999999999999,0.46337519623233897,973.9000000000001,0.6980000000000001,0.05573770491803279
215,2010,40.0,40.0,2.5285,estimate_normalized,True,79.0,78.14849,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,430.0,63.0,0.4956825396825397,0.692,0.187,0.1573654956429357,0.4315,0.6425000000000001,0.6855000000000001,0.0028444500076428,0.424,31.228,205.0,0.5049999999999999,31.0,1,99,40__40,13.076470588235294,34.3,324.1,3333.04,21.784575163398692,4.23,1.3605882352941177,34,558.81,-234.70999999999992,1247.1999999999998,1504.7000000000005,8,0,111,12,2,35.2,642.55,126.41,4.23,34.3,34.0,1.5533333333333337,23.7,629.11,72.83,2.46,0,127.3,10.058064516129033,24.4,644.56,101.06,1.95,0,47.8,17.7,32.1,744.29,136.75,3.21,2,79.8,17.73225806451613,30.4,657.41,118.9,2.6,2,35.2,18.116129032258065,34.3,657.67,129.27,4.23,4,-0.0053675846405685,0.0741999999999999,-0.1118055555555555,-0.1118055555555555,-0.0253898232323232,3,1373.3,0.38286067019400344,0.5037027250206441,0.5993832908163265,0.6811218372907747,0.6657238095238096,0.5588571428571428,,944.2999999999998,0.683,0.055958635643399236
