field_id,year,yield_t_ha,harvested_weight_t,completed_area_ha,completed_date,humidity,protein_content,oil_content,operation_id,crop_id,variety,till_type,sowing_date,harvesting_date,standard_name,field_name,field_tillable_area,field_calculated_area,lat,long,cropwise_t_ha,target_yield_t_ha,target_source,prev_crop_id,prev_standard_name,rotation_pair,years_since_sunflower,years_since_wheat,asof_tag,sowing_known_asof,sowing_doy,days_after_sowing_asof,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_days_asof,cw_temp_n_obs_asof,cw_temp_mean_asof,cw_temp_max_asof,cw_temp_min_asof,cw_temp_std_asof,cw_temp_p25_asof,cw_temp_p75_asof,cw_temp_last_value_asof,cw_temp_last_doy_asof,cw_temp_peak_doy_asof,cw_temp_amplitude_asof,cw_temp_slope_asof,cw_temp_integral_asof,cw_temp_last30d_mean_asof,cw_sm_n_obs_asof,cw_sm_mean_asof,cw_sm_max_asof,cw_sm_min_asof,cw_sm_std_asof,cw_sm_p25_asof,cw_sm_p75_asof,cw_sm_last_value_asof,cw_sm_last_doy_asof,cw_sm_peak_doy_asof,cw_sm_amplitude_asof,cw_sm_slope_asof,cw_sm_integral_asof,cw_sm_last30d_mean_asof,gdd_to_asof,heat_days_ge30_to_asof,cold_days_le0_to_asof,field_soil_pH,field_soil_OM,field_soil_N,field_soil_P,field_soil_K,field_soil_Mg,field_soil_S,field_soil_Zn,s2_ndvi_mean,s2_ndre_mean,s2_evi_mean,s2_gcvi_mean,s2_cloud_cover,s2_pixels_10m,s2_pixels_20m,s2_ndre_minus_ndvi,s2_evi_minus_ndvi,mgmt_ops_count_asof,mgmt_application_count_asof,mgmt_soil_count_asof,mgmt_other_count_asof,mgmt_days_since_last_operation_asof,mgmt_days_since_last_application_asof,mgmt_fertilizer_ops_asof,mgmt_fertilizer_rate_kg_ha_asof,mgmt_n_kg_ha_asof,mgmt_p2o5_kg_ha_asof,mgmt_k2o_kg_ha_asof,mgmt_s_kg_ha_asof,mgmt_chemical_ops_asof,mgmt_chemical_rate_asof,mgmt_herbicide_rate_asof,mgmt_fungicide_rate_asof,mgmt_insecticide_rate_asof,mgmt_seed_rate_asof
195,2021,2.022276422764228,248.74,123.0,2021-08-22,0.0,0.0,0.0,7037,3.0,Планета,,2021-05-12,2021-08-22,barley_spring,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,3.518,2.022276422764228,v26_harvest_op,,missing,missing->barley_spring,,,09_01,1,132.0,112.0,76,0.4482368421052632,0.753,0.18,0.2037725039829991,0.252,0.6657500000000001,0.197,241.0,199.0,0.573,0.0019722343703821,60.053,0.3534705882352941,34,135,15.479259259259258,46.3,-35.1,21.359207733594864,-1.175,31.75,37.35,241.0,147.0,81.4,0.2612307013551915,3062.6,31.20555555555556,244,0.4526065573770492,0.928,0.0,0.2803394292866034,0.115875,0.6556249999999999,0.5685,244.0,193.0,0.928,0.0032204370758625,110.0935,0.6239516129032258,2618.35,41,35,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913,0.1788849979639053,0.1341770589351654,0.08814637362957,1.0006459951400757,0.005,12260.0,3056.0,-0.0447079390287399,-0.0907386243343353,6,4,2,0,60.0,60.0,1,58.36206896551724,18.675862068965518,0.0,0.0,0.0,5,1.154853912601626,0.34601562500000005,0.516260162601626,0.1421875,193.7578125
195,2022,2.1216260162601626,260.96,123.0,2022-08-10,0.0,0.0,0.0,8710,44.0,,,2021-09-08,2022-08-10,wheat_winter,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,2.4872,2.1216260162601626,v26_harvest_op,3.0,barley_spring,barley_spring->wheat_winter,,,09_01,1,251.0,358.0,81,0.3987037037037037,0.686,0.177,0.1624210687273344,0.215,0.521,0.191,244.0,177.0,0.5090000000000001,0.0002498127212999,54.5485,0.2661666666666666,27,161,14.54937888198758,44.5,-23.95,21.327372103858657,-8.9,31.5,39.15,244.0,137.0,68.45,0.2583583011866711,3259.15,32.48913043478261,243,0.4592510288065844,0.897,0.0,0.2616188655500569,0.1425,0.64375,0.4875,244.0,112.0,0.897,0.0027055247103465,111.51175,0.5853225806451614,3031.9,50,55,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913,0.0992266163229942,0.0824801623821258,0.0835914835333824,0.4469960331916809,0.000133,12260.0,3056.0,-0.0167464539408684,-0.0156351327896118,9,4,4,1,72.0,72.0,4,141.5840108401084,35.9179945799458,23.0,0.0,2.4166666666666665,7,1.6749999999999998,0.775,0.5,0.3,943.0
195,2023,0.8904065040650406,109.52,123.0,2023-08-09,0.0,0.0,0.0,12579,44.0,Булава,,2022-08-29,2023-08-09,wheat_winter,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,1.8031,0.8904065040650406,v26_harvest_op,44.0,wheat_winter,wheat_winter->wheat_winter,,1.0,09_01,1,241.0,368.0,81,0.3790864197530864,0.617,0.171,0.1138001494423788,0.289,0.458,0.247,244.0,230.0,0.4459999999999999,0.0020226514739405,50.697,0.4346470588235294,5,141,18.873758865248227,48.8,-29.8,21.817867605791356,-0.05,37.85,25.8,244.0,157.0,78.6,0.2823594010733996,3625.55,28.511111111111106,244,0.4933463114754098,0.9415,0.038,0.2309910888803559,0.344125,0.655125,0.7565,244.0,226.0,0.9035,0.0024418210392839,119.942,0.7321129032258065,3096.3,65,36,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913,,,,,,,,,,11,5,4,2,70.0,70.0,4,133.98048780487807,18.946048780487807,50.0390243902439,0.0,0.006,7,1.9249999999999998,1.025,0.5,0.3,466.78277235772356
195,2024,2.7365853658536587,336.6,123.0,2024-09-29,0.0,0.0,0.0,31065,40.0,,,2024-05-12,2024-09-29,sunflower,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,3.3274,2.7365853658536587,v26_harvest_op,44.0,wheat_winter,wheat_winter->sunflower,,1.0,09_01,1,133.0,112.0,74,0.5052432432432432,0.801,0.176,0.2320256748846937,0.25575,0.69875,0.485,241.0,196.0,0.625,0.0051068395368945,66.7225,0.6650624999999999,40,142,13.525000000000002,44.6,-27.75,19.76680667499838,-5.574999999999999,28.625,22.1,241.0,139.0,72.35,0.2350201527613097,2723.0000000000005,25.76904761904762,245,0.5609591836734694,0.97,0.041,0.2743323032742257,0.349,0.7835,0.7595000000000001,245.0,101.0,0.929,0.0027571249051399,136.822,0.6271935483870967,1938.0,32,43,6.0,6.133,7.223,29.267,261.667,452.333,15.9,0.913,0.5390011072158813,0.3974049389362335,0.6289756298065186,1.7844425439834597,9.9e-05,12260.0,3056.0,-0.1415961682796478,0.0899745225906372,11,4,7,0,68.0,68.0,1,105.0,10.5,48.300000000000004,0.0,0.0,7,2.3097967479674795,0.2382520325203252,0.5,0.15447154471544716,0.3931947069105691
195,2025,2.7195121951219514,334.5,123.0,2025-09-18,0.0,0.0,0.0,35707,43.0,Токката,,2025-05-14,2025-09-18,wheat_spring,Коновалиха 1,123.0,122.42127,50.42198096600295,82.4644614849937,2.8708,2.7195121951219514,v26_harvest_op,40.0,sunflower,sunflower->wheat_spring,1.0,2.0,09_01,1,134.0,110.0,81,0.4507777777777778,0.758,0.148,0.2082561931259396,0.279,0.68,0.297,240.0,196.0,0.61,0.0029392220158012,63.0455,0.339,37,108,9.618981481481482,39.45,-24.2,20.591768084637824,-10.35,30.025,25.4,177.0,142.0,63.650000000000006,0.3843108943982015,1175.9249999999995,,242,0.5559938016528926,0.9595,0.0025,0.2944734847588884,0.2431249999999999,0.79425,0.952,244.0,99.0,0.957,0.0033243823432012,135.05575,0.7986935483870968,1581.45,27,44,6.9,3.6425,,225.2,499.4803025,427.5,27.9125,2.4025,0.1998808830976486,0.1420977562665939,0.1850772947072982,0.7920014262199402,0.539207,12260.0,3056.0,-0.0577831268310546,-0.0148035883903503,11,5,5,1,11.0,11.0,0,0.0,0.0,0.0,0.0,0.0,9,5.610098373983741,2.529381300813008,1.75,0.15,205.0
197,2021,2.5965868263473055,867.26,334.0,2021-08-23,0.0,0.0,0.0,7038,3.0,Планета,,2021-05-11,2021-08-23,barley_spring,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.7068,2.5965868263473055,v26_harvest_op,,missing,missing->barley_spring,,,09_01,1,131.0,113.0,76,0.4741447368421053,0.758,0.15,0.2172698239969545,0.26125,0.7004999999999999,0.225,241.0,186.0,0.608,0.0026561732354762,63.8995,0.4080625,35,133,15.460150375939843,46.9,-35.2,21.297138569666643,-1.0,31.3,38.95,241.0,152.0,82.1,0.2600198178475713,3022.75,30.87777777777778,244,0.4528463114754099,0.9225,0.0,0.2798817299008572,0.116875,0.653,0.5675,244.0,193.0,0.9225,0.0032131525469932,110.15225,0.6239838709677418,2572.4999999999995,40,34,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539,0.2912608087062835,0.1954227834939956,0.1831685751676559,1.6847304105758667,0.005,34332.0,8594.0,-0.0958380252122879,-0.1080922335386276,9,5,3,1,11.0,11.0,1,62.121212121212125,19.87878787878788,0.0,0.0,0.0,6,2.6844728724369444,0.3806060606060606,0.5089820359281437,0.14242424242424243,193.75454545454545
197,2022,1.5206997084548106,521.6,343.0,2022-08-09,0.0,0.0,0.0,8711,44.0,,,2021-09-11,2022-08-09,wheat_winter,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.2342,1.5206997084548106,v26_harvest_op,3.0,barley_spring,barley_spring->wheat_winter,,,09_01,1,254.0,355.0,82,0.410609756097561,0.727,0.155,0.1878075530376488,0.22425,0.579,0.218,244.0,185.0,0.572,0.0006582483496649,57.1915,0.2648333333333333,28,162,14.300617283950618,43.6,-23.55,21.65589831241655,-9.35,32.4125,39.5,244.0,139.0,67.15,0.2667534103671138,3208.175,33.483333333333334,243,0.4585452674897119,0.897,0.0,0.2612595441150114,0.141,0.643,0.4895,244.0,112.0,0.897,0.0027012735845914,111.3385,0.5851935483870967,3042.7500000000005,50,56,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539,0.101615309715271,0.0869492292404174,0.0820843204855918,0.4615584909915924,0.000133,34332.0,8594.0,-0.0146660804748535,-0.0195309892296791,10,5,4,1,49.0,49.0,4,163.83381924198252,43.49387755102041,23.0,0.0,3.1005830903790086,10,3.400801749271137,2.5123177842565596,0.4956268221574344,0.2928571428571428,943.0
197,2023,1.0820991253644316,371.16,343.0,2023-08-20,0.0,0.0,0.0,12580,44.0,Булава,,2022-08-27,2023-08-20,wheat_winter,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,2.1736999999999997,1.0820991253644316,v26_harvest_op,44.0,wheat_winter,wheat_winter->wheat_winter,,1.0,09_01,1,239.0,370.0,82,0.3918658536585366,0.644,0.166,0.131143541000777,0.30525,0.48175,0.485,244.0,230.0,0.478,0.0033791260948165,52.6935,0.5634117647058823,15,143,18.648601398601397,48.7,-31.9,21.730411116099106,0.0,36.5,24.2,244.0,157.0,80.6,0.2762397204473656,3539.8500000000004,27.19473684210526,244,0.4946495901639343,0.9405,0.038,0.2317523169986834,0.3419999999999999,0.6557499999999999,0.758,244.0,226.0,0.9025,0.0024529152158738,120.2595,0.7343064516129031,3115.6499999999996,64,36,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539,0.4538304507732391,0.3336035311222076,0.484425812959671,1.36243999004364,3e-06,34332.0,8594.0,-0.1202269196510315,0.0305953621864319,11,5,4,2,71.0,71.0,4,318.661263128315,82.52179739365626,48.52128279883382,0.0,5.634036144578313,7,1.9252915451895043,1.025,0.5,0.3,482.9154518950437
197,2024,3.2877551020408164,1127.7,343.0,2024-10-02,0.0,0.0,0.0,31066,40.0,KAPPEPA CLP,,2024-05-13,2024-10-02,sunflower,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.2481,3.2877551020408164,v26_harvest_op,44.0,wheat_winter,wheat_winter->sunflower,,1.0,09_01,1,134.0,111.0,75,0.5135866666666666,0.798,0.144,0.2396824061591135,0.249,0.724,0.62,241.0,201.0,0.654,0.005474752377676,66.73,0.7018235294117646,42,139,13.216187050359713,44.8,-27.85,20.0995939468518,-5.65,28.075,22.7,241.0,139.0,72.65,0.2358610563856047,2652.9999999999995,25.214285714285715,245,0.5630551020408164,0.973,0.0415,0.2745141199752863,0.3535,0.788,0.766,245.0,101.0,0.9315,0.0027672433067589,137.32975,0.6336612903225806,1886.9,28,42,6.515,5.715,4.765,29.477,382.154,387.0,7.899,0.539,0.6149555444717407,0.4750718474388122,0.7741461396217346,2.4079437255859375,9.9e-05,34332.0,8594.0,-0.1398836970329285,0.1591905951499939,12,4,7,1,66.0,66.0,1,104.0,10.4,47.84,0.0,0.0,7,2.675,0.625,0.5,0.15,0.5745627504880175
197,2025,3.779416909620991,1296.34,343.0,2025-08-17,0.0,0.0,0.0,35708,43.0,Дарья,,2025-05-16,2025-08-17,wheat_spring,Казачий увал,343.0,343.71311,50.43149523573457,82.4485335081973,3.1238,3.779416909620991,v26_harvest_op,40.0,sunflower,sunflower->wheat_spring,1.0,2.0,09_01,1,136.0,108.0,84,0.4439285714285714,0.762,0.167,0.2175711588967468,0.24725,0.678,0.232,240.0,191.0,0.595,0.0025082680005386,61.1705,0.2866363636363636,36,108,8.800462962962962,40.65,-25.2,20.730973534172342,-11.4625,29.15,25.2,177.0,142.0,65.85,0.3819252692179331,1042.75,,242,0.5569586776859504,0.96,0.0025,0.2947596099049348,0.24475,0.7973750000000001,0.9525,244.0,99.0,0.9575,0.0033250180492919,135.28924999999998,0.7986129032258064,1534.7,21,44,6.976923076923077,3.579230769230769,,216.96,502.5284007692307,454.61538461538464,15.039230769230768,1.8138461538461537,0.0975904688239097,0.0837164297699928,0.0835735276341438,0.4915603399276733,0.539207,34332.0,8594.0,-0.0138740390539169,-0.0140169411897659,12,5,6,1,46.0,46.0,1,70.0,23.8,0.0,0.0,2.1,6,3.3080174927113704,1.4,1.7580174927113703,0.15,200.0
